id_venta,fecha_venta,id_empleado,antiguedad_vendedor,id_cliente,nombre_cliente,email_cliente,genero_cliente,edad_cliente,ciudad_cliente,region_cliente,canal_venta,producto,categoria_producto,precio_unitario,cantidad,descuento_pct
1,2023-04-13,28,50,63,Luis Díaz,correo@,Hombre,18,Temuco,Biobío,Web,Notebook,Tecnología,15000,-1,
2,2023-12-15,79,0,491,Juan Pérez,user@gmail.com,,,Santiago,,Web,Perfume,Belleza,700000,100,-0.2
3,2023-09-28,6,5,239,María González,user@gmail.com,,150,Valparaíso,Biobío,Web,Notebook,Tecnología,15000,100,-0.2
4,2023-04-17,61,1,492,María González,sin_email,Hombre,-5,Santiago,Antofagasta,App,Maquillaje,Belleza,700000,1,0.1
5,2023-03-13,20,5,419,Juan Pérez,sin_email,Hombre,35,Valparaíso,Araucanía,Web,Notebook,Belleza,35000,0,1.5
6,2023-07-08,78,2,337,,,Otro,45,,Antofagasta,App,Lavadora,,35000,3,0
7,2023-01-21,2,-1,419,Ana Rojas,user@gmail.com,Hombre,18,Santiago,Araucanía,CallCenter,Perfume,Tecnología,-1000,3,-0.2
8,2023-04-13,73,10,403,Carlos Soto,correo@,,,,Antofagasta,Web,Perfume,,99999999,-1,
9,2023-05-02,37,1,404,,sin_email,Hombre,-5,Antofagasta,Metropolitana,App,Notebook,Tecnología,35000,1,1.5
10,2023-08-03,20,2,100,Carlos Soto,user@gmail.com,Otro,35,Valparaíso,,Tienda,Perfume,Belleza,-1000,1,0.05
11,2023-11-27,26,50,163,Juan Pérez,correo@,,25,Antofagasta,Araucanía,Tienda,Notebook,Electrohogar,15000,0,0.5
12,2023-03-29,29,-1,416,Juan Pérez,,X,25,Santiago,,,Maquillaje,,35000,3,
13,2023-04-10,1,0,122,Ana Rojas,correo@,,25,Valparaíso,Metropolitana,Web,Maquillaje,Electrohogar,15000,1,0.05
14,2023-12-26,35,1,432,Juan Pérez,sin_email,X,150,Talca,Antofagasta,CallCenter,Lavadora,Belleza,15000,100,
15,2023-06-01,70,10,44,María González,sin_email,,45,,,Web,Perfume,Tecnología,99999999,-1,0.5
16,2023-05-11,59,-1,360,Ana Rojas,user@gmail.com,Otro,25,Antofagasta,,CallCenter,Perfume,,35000,3,0.1
17,2023-05-30,69,50,408,Carlos Soto,correo@,Mujer,150,Antofagasta,Metropolitana,CallCenter,Lavadora,Electrohogar,15000,0,
18,2023-11-05,33,10,317,María González,sin_email,,60,Santiago,Metropolitana,Web,,Belleza,99999999,-1,-0.2
19,2023-09-15,51,0,381,Juan Pérez,correo@,X,150,,Metropolitana,,Notebook,,99999999,2,0
20,2023-12-10,78,0,145,Juan Pérez,correo@,Hombre,18,Talca,Biobío,CallCenter,Lavadora,,35000,100,-0.2
21,2023-10-21,12,50,327,Ana Rojas,sin_email,Hombre,150,,,CallCenter,Lavadora,Belleza,99999999,0,0.5
22,2023-07-11,20,1,363,Luis Díaz,correo@,Otro,45,Temuco,Metropolitana,CallCenter,Notebook,,35000,-1,
23,2023-10-04,53,50,50,,correo@,X,-5,Temuco,Araucanía,Tienda,,Electrohogar,35000,1,0
24,2023-06-10,88,5,65,Juan Pérez,cliente@mail.cl,Mujer,,Temuco,Metropolitana,Web,Perfume,Belleza,700000,2,-0.2
25,2023-11-10,43,0,355,,user@gmail.com,X,150,Valparaíso,Antofagasta,Tienda,,Belleza,15000,0,0
26,2023-01-22,98,-1,288,Luis Díaz,correo@,Mujer,25,Temuco,Araucanía,App,Lavadora,,750000,1,0.5
27,2023-09-10,89,5,164,Juan Pérez,correo@,Otro,18,Valparaíso,,App,Perfume,Belleza,35000,100,0.1
28,2023-08-24,50,2,141,Luis Díaz,sin_email,Mujer,35,Temuco,Metropolitana,App,,Belleza,15000,2,0.1
29,2023-12-11,29,10,454,María González,user@gmail.com,Mujer,25,Valparaíso,Araucanía,App,Perfume,Belleza,99999999,3,
30,2023-02-18,57,5,314,Luis Díaz,sin_email,X,18,Antofagasta,Antofagasta,CallCenter,Notebook,Belleza,-1000,1,-0.2
31,2023-02-28,39,10,128,Ana Rojas,cliente@mail.cl,,60,Temuco,,,Lavadora,Belleza,35000,-1,0.05
32,2023-06-19,95,50,398,María González,sin_email,,,Antofagasta,Biobío,,Perfume,Tecnología,99999999,0,0.5
33,2023-07-07,56,5,421,Carlos Soto,cliente@mail.cl,Mujer,35,Talca,Biobío,,Lavadora,Belleza,99999999,2,-0.2
34,2023-09-28,43,50,368,María González,correo@,Mujer,60,,Araucanía,Web,Maquillaje,,99999999,1,-0.2
35,2023-07-09,50,2,463,Ana Rojas,user@gmail.com,,-5,Antofagasta,Araucanía,Tienda,Perfume,,99999999,3,0.1
36,2023-06-24,23,0,239,Luis Díaz,correo@,Mujer,18,,Antofagasta,App,Maquillaje,Electrohogar,99999999,0,
37,2023-02-20,44,2,324,Ana Rojas,correo@,Mujer,60,,Araucanía,Tienda,Notebook,,35000,0,0
38,2023-12-30,38,0,296,Ana Rojas,cliente@mail.cl,Otro,,Santiago,Biobío,Tienda,Maquillaje,Electrohogar,750000,1,0.5
39,2023-02-24,84,50,187,María González,sin_email,Hombre,,Santiago,Antofagasta,CallCenter,Lavadora,Electrohogar,700000,3,0
40,2023-09-01,23,0,208,,user@gmail.com,Hombre,-5,Valparaíso,Araucanía,App,Perfume,,99999999,100,1.5
41,2023-11-16,45,10,220,,correo@,,,Santiago,,App,Lavadora,Electrohogar,99999999,100,1.5
42,2023-05-11,52,-1,400,Juan Pérez,user@gmail.com,Mujer,18,Santiago,,App,Notebook,,700000,2,0.5
43,2023-11-03,80,2,190,Ana Rojas,correo@,Hombre,18,Talca,,App,,,35000,1,
44,2023-05-15,50,5,388,Juan Pérez,cliente@mail.cl,,,Valparaíso,Antofagasta,App,Notebook,,15000,2,0.05
45,2023-01-21,8,2,429,Carlos Soto,,,60,Valparaíso,Metropolitana,Tienda,Lavadora,,-1000,100,1.5
46,2023-11-25,85,10,346,Ana Rojas,correo@,,18,Temuco,,Tienda,Lavadora,Tecnología,-1000,0,0.1
47,2023-06-16,1,0,284,María González,sin_email,Otro,25,Talca,Metropolitana,App,Perfume,Electrohogar,15000,2,0.05
48,2023-10-01,8,10,352,Juan Pérez,cliente@mail.cl,Otro,,Talca,Biobío,Web,Perfume,,35000,3,-0.2
49,2023-03-30,29,1,237,Carlos Soto,sin_email,,18,Valparaíso,Biobío,Tienda,Notebook,Tecnología,-1000,-1,1.5
50,2023-11-12,96,1,194,Carlos Soto,cliente@mail.cl,,45,Santiago,,App,Notebook,Electrohogar,700000,100,0.1
